words,occurrences,frequency
ne,90024,14.984919202881665
pas,65729,10.940901918224128
plus,55485,9.235739824623312
aussi,19435,3.2350473730116986
très,13288,2.211850244022611
bien,12632,2.1026559514218564
alors,11839,1.9706573629578337
même,11825,1.968326996957208
encore,11017,1.833831587778229
moins,10422,1.7347910327516296
tout,9967,1.6590541377312888
ainsi,9076,1.5107429872628853
peu,8029,1.3364649013589363
non,7560,1.2583976403379697
déjà,7496,1.2477445386208228
donc,7235,1.2042998581805835
lors,7137,1.1879872961762024
aujourd’hui,6839,1.1383837913057373
notamment,6722,1.1189085897290783
toujours,6566,1.0929416542935328
également,5826,0.9697651656890226
beaucoup,5130,0.8539126845150509
jamais,5063,0.8427602186549128
que,5061,0.8424273092262519
là,4852,0.8076382739311943
ici,4663,0.7761783329227451
près,4661,0.7758454234940843
ailleurs,4550,0.7573689502034077
souvent,4431,0.7375608391980878
trop,4245,0.7066002623326297
autant,4133,0.6879573343276228
comment,3932,0.6544999367472085
désormais,3903,0.6496727500316264
pourtant,3581,0.5960743320172314
surtout,3467,0.5770984945835635
parfois,3337,0.555459381720609
seulement,3230,0.5376487272872542
afin,3055,0.5085191522794309
loin,2974,0.4950363204186669
autour,2936,0.48871104127411097
tant,2802,0.46640610955383477
mieux,2789,0.4642421982675393
tard,2707,0.450592911692445
plutôt,2705,0.4502600022637841
enfin,2494,0.41513805754006566
n',2364,0.39349894467711116
pourquoi,2362,0.3931660352484503
ensuite,2341,0.3896704862475115
environ,2325,0.3870072108182248
auprès,2302,0.38317875238862514
assez,1926,0.3205917798003875
longtemps,1919,0.31942659680007457
abord,1904,0.3169297760851183
quant,1863,0.31010513279757107
soit,1806,0.3006172140807372
presque,1795,0.2987862122231026
toutefois,1752,0.29162865950689454
cependant,1725,0.2871343822199732
mal,1710,0.28463756150501696
davantage,1709,0.28447110679068655
juste,1640,0.2729857315018876
vraiment,1593,0.2651623599283579
finalement,1557,0.2591699902124628
peutêtre,1554,0.25867062606947155
se,1543,0.2568396242118369
vite,1539,0.2561738053545152
particulièrement,1486,0.24735170549500302
fort,1402,0.23336950949124782
largement,1381,0.229873960490309
quelque,1377,0.22920814163298733
maintenant,1353,0.22521322848905725
tôt,1307,0.21755631162985797
rapidement,1305,0.21722340220119715
tandis,1229,0.20457284391208527
etc.,1203,0.20024502133949437
actuellement,1164,0.19375328748060802
certes,1163,0.1935868327662776
à,1119,0.18626282533573915
audelà,1066,0.17744072547622694
partout,1030,0.17144835576033185
régulièrement,976,0.1624598011864892
récemment,960,0.1597965257572025
néanmoins,891,0.14831115046840357
directement,887,0.1476453316110819
totalement,869,0.14464914675313434
simplement,846,0.1408206883235347
contrairement,814,0.13549413746496128
oui,808,0.13449540917897876
forcément,790,0.13149922432103123
fortement,753,0.1253403998908057
extrêmement,746,0.12417521689049277
clairement,723,0.12034675846089313
uniquement,684,0.11385502460200678
évidemment,668,0.11119174917272007
précisément,641,0.10669747188579876
autrement,637,0.10603165302847707
probablement,633,0.1053658341711554
auparavant,610,0.10153737574155575
officiellement,599,0.09970637388392115
combien,586,0.0975424625976257
audessus,581,0.0967101890259736
suffisamment,573,0.09537855131133025
bientôt,571,0.0950456418826694
delà,571,0.0950456418826694
tellement,571,0.0950456418826694
principalement,562,0.09354754945369563
si,560,0.0932146400250348
complètement,536,0.08921972688110473
demain,532,0.08855390802378305
quasiment,504,0.08389317602253131
immédiatement,499,0.08306090245087921
justement,490,0.08156281002190544
généralement,483,0.0803976270215925
depuis,477,0.07939889873560999
essentiellement,459,0.07640271387766244
visàvis,455,0.07573689502034077
progressivement,450,0.07490462144868867
sinon,425,0.07074325359042818
parfaitement,420,0.06991098001877609
absolument,420,0.06991098001877609
guère,415,0.069078706447124
quand,405,0.0674141593038198
où,392,0.06525024801752435
facilement,388,0.06458442916020267
profondément,382,0.06358570087422016
peut,378,0.06291988201689848
effectivement,374,0.06225406315957681
définitivement,362,0.060256606587611776
rarement,356,0.059257878301629256
potentiellement,343,0.057093967015333806
systématiquement,340,0.05659460287234255
globalement,336,0.055928784015020876
entièrement,331,0.05509651044336878
exactement,330,0.054930055729038356
relativement,330,0.054930055729038356
réellement,327,0.0544306915860471
massivement,325,0.05409778215738626
aussitôt,323,0.053764872728725425
majoritairement,317,0.052766144442742906
lorsque,315,0.05243323501408207
malheureusement,314,0.05226678029975165
nettement,308,0.05126805201376913
pleinement,301,0.050102869013456196
aujourd'hui,290,0.04827186715582159
hier,287,0.04777250301283033
initialement,286,0.04760604829849991
puisque,282,0.04694022944117823
exclusivement,270,0.0449427728692132
bref,268,0.044609863440552365
avant,262,0.043611135154569845
respectivement,262,0.043611135154569845
légèrement,252,0.041946588011265655
politiquement,252,0.041946588011265655
nécessairement,246,0.04094785972528314
difficilement,246,0.04094785972528314
certainement,245,0.04078140501095272
jusquelà,231,0.03845103901032685
publiquement,228,0.03795167486733559
car,226,0.037618765438674755
considérablement,223,0.037119401295683495
habituellement,221,0.03678649186702266
énormément,219,0.03645358243836182
naturellement,217,0.03612067300970098
heureusement,217,0.03612067300970098
correctement,213,0.035454854152379305
parallèlement,212,0.03528839943804889
géo,208,0.03462258058072721
strictement,205,0.03412321643773595
autrefois,203,0.033790307009075114
soudain,201,0.03345739758041427
prochainement,196,0.03262512400876218
socialement,193,0.03212575986577092
concrètement,192,0.0319593051514405
normalement,190,0.03162639572277966
partiellement,189,0.03145994100844924
durablement,186,0.030960576865457983
véritablement,185,0.030794122151127565
purement,177,0.02946248443648421
sérieusement,177,0.02946248443648421
dire,173,0.028796665579162533
manifestement,173,0.028796665579162533
après,171,0.028463756150501694
être,171,0.028463756150501694
collectivement,169,0.028130846721840855
historiquement,169,0.028130846721840855
hautement,169,0.028130846721840855
fréquemment,169,0.028130846721840855
quotidiennement,168,0.027964392007510438
lentement,167,0.027797937293180017
longuement,166,0.0276314825788496
librement,163,0.02713211843585834
financièrement,159,0.02646629957853666
pratiquement,157,0.026133390149875826
physiquement,155,0.025800480721214988
sûrement,154,0.025634026006884567
gravement,148,0.02463529772090205
conformément,147,0.024468843006571633
brutalement,146,0.02430238829224121
volontairement,145,0.024135933577910794
ouvertement,144,0.023969478863580373
différemment,144,0.023969478863580373
spontanément,141,0.023470114720589116
paradoxalement,141,0.023470114720589116
