words,occurrences,frequency
an,25545,0.9274413727802402
pourcent,19213,0.6975506398601196
année,16604,0.6028278157621103
personne,11799,0.4283766199817598
école,10785,0.39156215327597926
jour,10475,0.38030723741918243
président,9472,0.3438921386954173
monde,9365,0.3400073774158132
etat,9301,0.33768378188408743
candidat,9271,0.33659459647859097
pays,9128,0.33140281271239114
heure,8741,0.31735232098148675
question,8730,0.3169529529994714
euro,8532,0.3097643293231947
santé,8499,0.3085662253771486
mois,8393,0.30471777027772773
fois,8341,0.3028298489082005
m.,8268,0.30017949775482583
temps,8221,0.2984731072862147
femme,8148,0.29582275613284
vie,8110,0.29444312128587774
ministre,7914,0.2873271099699675
place,7818,0.28384171667237884
homme,7687,0.2790856070683776
fin,7626,0.2768709300772015
travail,7586,0.27541868286987287
cas,7581,0.27523715196895676
étude,7375,0.2677580788512144
fait,7274,0.2640911546527096
étudiant,6942,0.25203750283188203
projet,6722,0.24405014319157464
loi,6603,0.239729707749772
enfant,6458,0.23446531162320575
université,6298,0.22865632279389125
droit,6280,0.22800281155059338
effet,6256,0.2271314632261962
million,6203,0.2252072356764858
nombre,5932,0.2153682608468344
janvier,5885,0.21366187037822326
élève,5848,0.2123185417114443
cours,5801,0.21061215124283317
groupe,5730,0.20803441244982485
compte,5686,0.20643694052176337
sujet,5648,0.20505730567480118
gouvernement,5615,0.20385920172875507
service,5578,0.2025158730619761
rapport,5561,0.20189866799886144
affaire,5481,0.1989941735842042
partie,5463,0.19834066234090633
association,5452,0.19794129435889093
face,5441,0.19754192637687557
campagne,5438,0.19743300783632592
formation,5404,0.1961985977100966
mesure,5397,0.1959444544488141
risque,5336,0.19372977745763795
lieu,5316,0.19300365385397364
entreprise,5312,0.19285842913324078
crise,5141,0.18665007232191091
conseil,5049,0.1833099037450551
histoire,5046,0.18320098520450545
société,5044,0.18312837284413902
début,5040,0.18298314812340616
recherche,5007,0.18178504417736005
droite,5005,0.18171243181699362
famille,4999,0.18149459473589433
point,4996,0.18138567619534468
enquête,4897,0.17779136435720633
semaine,4896,0.1777550581770231
établissement,4848,0.17601236152822877
a,4691,0.17031229123946395
côté,4655,0.1690052687528682
part,4538,0.16475744567143197
ville,4494,0.1631599737433705
science,4482,0.1627242995811719
système,4455,0.1617440327162251
chef,4299,0.15608026860764346
parti,4291,0.15578981916617773
situation,4225,0.15339361127408552
moment,4206,0.15270379385060442
