words,occurrences,frequency
avoir,42544,3.55057338789163
faire,34209,2.854963450225291
pouvoir,30619,2.5553546108465075
devoir,17830,1.4880294167475498
dire,15422,1.287066161810472
aller,13900,1.1600453669540631
mettre,13471,1.1242425279308046
prendre,11725,0.978527476801179
falloir,10884,0.9083405592753973
voir,10522,0.8781293058338598
passer,10064,0.8399062282752295
permettre,9727,0.8117813873641849
vouloir,9325,0.7782318738738588
savoir,8364,0.698030176201711
venir,8107,0.6765818553882438
être,7960,0.6643137497089454
devenir,6212,0.5184317855768805
rendre,5929,0.4948135957317007
donner,5587,0.46627147231455757
explique,5189,0.4330557848291103
connaître,5179,0.43222121981691314
agir,4831,0.40317835739245167
annoncer,4709,0.39299666424364627
partir,4664,0.389241121688759
trouver,4622,0.3857359486375309
tenir,4594,0.3833991666033788
publier,4303,0.35911332474844126
demander,4208,0.35118495713256814
suivre,4165,0.3475963275801203
rester,4145,0.345927197555726
appeler,4132,0.3448422630398697
lancer,4071,0.33975141646546697
rappeler,4020,0.3354951349032614
porter,4013,0.3349109393947234
créer,3978,0.3319899618520333
attendre,3941,0.3289020713069038
répondre,3941,0.3289020713069038
ouvrir,3831,0.3197218561727349
reste,3818,0.3186369216568786
retrouver,3738,0.31196040155930127
présenter,3670,0.30628535947636054
entendre,3501,0.2921812107702284
vivre,3476,0.2900947982397355
prévoir,3471,0.28967751573363687
reconnaître,3469,0.28951060273119744
comprendre,3407,0.284336299655575
déclarer,3329,0.2778266925604371
travailler,3290,0.27457188901286816
commencer,3266,0.27256893298359497
poursuivre,3239,0.2703156074506626
parler,3235,0.2699817814457837
estime,3232,0.2697314119421246
montrer,3178,0.2652247608762599
mener,3159,0.2636390873530853
recevoir,3141,0.26213687033113037
proposer,3135,0.2616361313238121
sortir,3127,0.2609684793140543
obtenir,3123,0.26063465330917546
écrire,3064,0.25571071973721216
utiliser,3047,0.25429195921647696
laisser,3020,0.2520386336835446
lier,2925,0.24411026606767153
assurer,2912,0.24302533155181522
expliquer,2871,0.23960361500180682
changer,2869,0.2394367019993674
considérer,2833,0.2364322679554576
arriver,2799,0.23359474691398724
atteindre,2789,0.23276018190179007
organiser,2725,0.2274189658237282
revenir,2704,0.22566637929811414
choisir,2693,0.22474835778469726
interroger,2674,0.22316268426152264
juger,2673,0.22307922776030292
défendre,2671,0.22291231475786347
croire,2658,0.22182738024200715
réaliser,2656,0.22166046723956773
dénoncer,2645,0.22074244572615084
