words,occurrences,frequency
être,255977,3.4101416867996344
avoir,212874,2.8359208109938994
et,208209,2.773773387713994
que,136050,1.8124666532113831
il,113436,1.5112015235111096
qui,90625,1.2073119474258112
ne,90186,1.2014635618266947
se,89974,1.1986392844986475
pas,67085,0.8937105875096335
lui,56305,0.7500987497910101
plus,55716,0.7422520547616717
ce,53976,0.719071665371096
faire,40691,0.5420880601677648
on,38101,0.5075839173392643
mais,36954,0.49230351122949984
pouvoir,33237,0.4427854035485979
ou,32991,0.4395081760830338
je,32673,0.435271760090963
tout,32303,0.4303425968297487
le,28010,0.37315098093679416
an,25992,0.34626705806887376
nous,24847,0.33101329608484553
y,22985,0.30620761502435606
autre,21184,0.28221457979882353
premier,20239,0.26962523038842473
même,19957,0.2658684086596073
aussi,19437,0.2589409359681709
pourcent,19213,0.255956793885706
devoir,18852,0.251147529190305
celui,17307,0.23056494205901806
france,16972,0.22610205099818886
si,16634,0.22159919374875522
année,16605,0.22121285392557896
dire,15944,0.21240697036973388
nouveau,15122,0.20145623469211713
en,14351,0.1911849242207759
aller,13980,0.1862424388966934
cela,13959,0.18596267557646232
monde,13788,0.1836846028260092
grand,13765,0.18337819538004183
mettre,13488,0.17968798396556512
où,13364,0.17803604816991492
bien,13297,0.17714346995774907
très,13289,0.1770368934548039
français,12964,0.17270722302265618
dont,12613,0.1680311789559366
personne,11847,0.1578264787989361
alors,11839,0.15771990229599092
prendre,11725,0.15620118712902217
politique,11495,0.1531371126693484
encore,11054,0.14726208294449564
public,11014,0.14672920042976975
falloir,10885,0.1450106543197788
me,10819,0.1441313981704811
école,10799,0.14386495691311818
t,10744,0.1431322434553701
voir,10599,0.14120054433948878
jour,10476,0.1395619306067067
moins,10437,0.139042370154849
national,10408,0.13865603033167273
passer,10072,0.1341798172079754
candidat,9996,0.13316734042999623
permettre,9735,0.1296902820214099
pays,9619,0.12814492272870484
président,9490,0.1264263766187139
paris,9486,0.12637308836724132
dernier,9474,0.12621322361282356
vouloir,9348,0.12453464369143705
etat,9303,0.12393515086237043
santé,9115,0.12143060304315882
ainsi,9080,0.12096433084277368
savoir,9027,0.1202582615107619
jeune,8935,0.11903263172689238
euro,8863,0.1180734432003858
heure,8741,0.11644815153047189
question,8731,0.11631493090179042
peu,8481,0.1129844151847537
social,8418,0.11214512522406045
mois,8394,0.11182539571522492
fois,8388,0.11174546333801604
étudiant,8321,0.1108528851258502
m.,8269,0.11016013785670656
temps,8267,0.11013349373097027
femme,8150,0.10857481237539708
vie,8121,0.10818847255222082
venir,8109,0.10802860779780306
fin,8044,0.10716267371137352
un,8038,0.10708274133416464
ministre,7915,0.10544412760138257
vous,7851,0.10459151557782116
place,7821,0.10419185369177676
homme,7687,0.10240669726744507
ancien,7632,0.101673983809697
non,7618,0.10148747492954294
travail,7618,0.10148747492954294
cas,7585,0.1010478468548941
déjà,7537,0.10040838783722304
étude,7375,0.09825021365258325
fait,7365,0.09811699302390178
quand,7355,0.09798377239522031
seul,7330,0.09765072082351664
européen,7276,0.0969313294286367
donc,7235,0.09638512485104268
lors,7137,0.09507956268996429
droit,7035,0.09372071227741331
aujourd’hui,6839,0.09110958795525652
projet,6726,0.08960419485115592
notamment,6722,0.08955090659968333
loi,6611,0.08807215762131904
toujours,6566,0.08747266479225242
enfant,6554,0.08731280003783466
général,6526,0.08693978227752655
là,6444,0.0858473731223385
université,6344,0.08451516683552382
compte,6309,0.08404889463513868
effet,6257,0.08335614736599503
devenir,6213,0.08276997659979657
million,6208,0.08270336628545584
petit,6194,0.08251685740530178
nombre,5932,0.0790264769338473
rendre,5930,0.078999832808111
risque,5924,0.07891990043090212
élève,5898,0.0785735267963303
janvier,5888,0.07844030616764884
car,5879,0.07832040760183552
bon,5865,0.07813389872168146
